TreeSHAP::dX,TreeSHAP::VEC,TreeSHAP::sigma,TreeSHAP::dHmix,TreeSHAP::dSmix,base_value_K,fitted_TC_K,observed_TC_K,reference_id
-3.2504201505567845,-87.09540437443218,30.229198135152775,-9.942009724485157,-4.981034698225059,209.0496451227669,134.00997431022094,135.0,[4]
73.37658011503781,-68.25109411884497,-21.887122553797223,6.775615680477072,-11.771828498929239,209.0496451227669,187.29179574670954,186.0,[5]
14.161458668695584,-65.51592420788637,-18.220162638030075,3.982613786181674,-7.072239604173957,209.0496451227669,136.3853911275541,139.0,[5]
-16.93432374426209,-79.42712097461555,-35.30408968097173,-3.6617809582994316,-10.570455565939112,209.0496451227669,63.15187419867898,52.0,[5]
-31.546868564066873,-119.9780281590016,-35.66219192083895,-6.865441861020671,74.36064322648569,209.0496451227669,89.35775784432481,88.0,[5]
-28.40193741494108,-67.94373858820869,-48.62806295728105,-6.545581497949835,-28.331549917730772,209.0496451227669,29.19877474665536,29.0,[6]
-32.665029976071814,-77.30992631427482,-42.173904515332964,-0.6019087042565634,-18.093099736950172,209.0496451227669,38.20577587588054,37.0,[7]
-36.649259437935335,-79.13808394415062,-55.03315813104052,-1.4750014994109342,-20.163832823718263,209.0496451227669,16.590309286511335,18.0,[7]
-36.76479742182577,-80.21596725009299,-55.10515117547199,-4.423884146163511,-21.25387796988652,209.0496451227669,11.28596715932629,9.0,[7]
-25.070910079332233,-70.51055853567026,-66.04463844176655,-7.923857047116477,0.362236088239129,209.0496451227669,39.861917107120895,39.0,[8]
-27.521833100528863,-77.31804858977354,-58.404506277830926,-10.217042379688277,5.93653864813876,209.0496451227669,41.52475342308426,44.0,[8]
-27.835704288748897,-76.11445742711226,-55.77883089159509,-10.574314766656823,5.62196508772322,209.0496451227669,44.36830283637736,41.0,[8]
-27.822879018717636,-76.0922823628227,-55.755448527839775,-10.588842016051624,5.529857418792213,209.0496451227669,44.32005061612767,43.0,[8]
-23.85979421835727,-81.26690748808899,-58.75610796678096,-6.588182128484415,12.592396351987654,209.0496451227669,51.17104967304329,51.0,[9]
-23.093082848664146,-81.13556599451243,-58.23000364861734,-7.323560308755636,8.446789997534513,209.0496451227669,47.71422231975219,49.0,[9]
-27.835704288748897,-76.11445742711226,-55.77883089159509,-10.574314766656823,5.62196508772322,209.0496451227669,44.36830283637736,47.0,[9]
-26.49568919771602,-76.29604562881248,-41.78044865344018,-3.026161455426397,-18.80980187224249,209.0496451227669,42.641498315129404,44.0,[10]
-26.986675772857296,-74.95536734344948,-44.77933763796912,-1.245339877392111,-17.23424704898323,209.0496451227669,43.8486774421157,44.0,[10]
-28.197760705855117,-76.00560799292133,-45.226410462394085,-4.318787694629713,-10.68982632406345,209.0496451227669,44.611251942903245,44.0,[10]
-27.401510794929806,-77.60826747698174,-44.84010241719677,-17.045273697361868,1.56289145526838,209.0496451227669,43.71738219156521,44.0,[10]
-16.15339028466678,-70.20066104033349,-48.91430057695434,6.324110757508968,19.640081931390597,209.0496451227669,99.74548590971212,98.0,[11]
-16.15339028466678,-70.20066104033349,-48.91430057695434,6.324110757508968,19.640081931390597,209.0496451227669,99.74548590971212,102.0,[11]
-16.15339028466678,-70.20066104033349,-48.91430057695434,6.324110757508968,19.640081931390597,209.0496451227669,99.74548590971212,99.0,[11]
15.235087055207362,131.20526280794385,-1.7277738108938419,12.940808313882794,-37.484417989970794,209.0496451227669,329.21861149893596,329.0,[12]
0.9513353345686545,34.93280867316676,36.95487865361821,0.4548158004978139,-11.537882026895318,209.0496451227669,270.8056015577226,271.0,[13]
-8.339340199215298,29.814154547743183,27.34934382571312,1.3547644065489721,-33.60638789297708,209.0496451227669,225.62217981057975,224.0,[13]
-4.817402232739608,22.089138993708012,24.299293029592267,12.514429072910705,-32.16159894162445,209.0496451227669,230.97350504461392,232.0,[13]
-5.653986688020533,21.1953346244787,24.713042673771646,0.6102782826443724,-14.403089906088871,209.0496451227669,235.511224109552,235.0,[13]
5.790405403950625,58.31164587077854,59.01619236613961,19.157280613074324,-24.83383473016437,209.0496451227669,326.49133464654517,327.6,[13]
5.629542206064024,59.22927959833697,54.63592730556932,6.291147472740194,-25.10187721499547,209.0496451227669,309.73366449048166,308.8,[13]
0.9513353345686545,34.93280867316676,36.95487865361821,0.4548158004978139,-11.537882026895318,209.0496451227669,270.8056015577226,271.3,[13]
1.6580293153181223,35.30673766088124,42.88346187472087,5.542106892598576,0.08657985833522397,209.0496451227669,294.5265607246199,295.5,[13]
-24.567772005860352,-69.74965737792638,-41.56050736211124,-5.750319218336415,-8.02865075508585,209.0496451227669,59.39273840344703,59.0,[14]
-27.079094915019283,-106.41950332529794,-77.43799437752591,-18.673199374750382,28.93598253622386,209.0496451227669,8.375835666396748,8.0,[14]
24.6818569272534,89.76552255070995,35.76882307361181,-20.254693049886725,17.460743232552083,209.0496451227669,356.47189785700743,395.0,[15]
24.6818569272534,89.76552255070995,35.76882307361181,-20.254693049886725,17.460743232552083,209.0496451227669,356.47189785700743,321.0,[15]
5.949500968210343,79.42531674817533,32.538287262038075,-21.873225022469725,-4.78368907761318,209.0496451227669,300.30583600110765,297.0,[15]
4.609119375365754,79.12681555664689,23.646992265928017,-24.218331994173305,-14.068187073272146,209.0496451227669,278.14605325326215,279.0,[15]
5.676462683806662,62.60309513764517,17.95898638124344,-22.41421318398653,-9.818348587760815,209.0496451227669,263.0556275537146,264.0,[15]
19.843195942820696,81.82004072478462,30.16599318053291,-25.772846641302543,-12.350616011336596,209.0496451227669,302.75541231826594,299.0,[15]
7.124463383794977,74.33276313535254,35.900727711582526,-25.10771611401999,-11.987802432277803,209.0496451227669,289.31208080719915,292.0,[15]
-48.97463270537593,1.032604474843583,21.09540934108056,-11.131293916519548,-32.47966141145533,209.0496451227669,138.5920709053403,138.0,[16]
-21.313886634162,6.3753760516973115,24.575457668654916,-10.085323813841025,-28.415624913317707,209.0496451227669,180.1856434817981,178.0,[16]
-20.2928288232866,9.111567051265421,29.927846893356033,-3.717400585770553,-25.011723182667694,209.0496451227669,199.06710647566322,200.0,[16]
