feature_set,model,fold,n_train,n_test,n_train_references,n_test_references,inner_best_r2,r2,rmse,mae
matminer,DummyMean,1,126,15,37,5,,-0.13136125452123903,110.4014566600145,96.58412698412698
matminer,DummyMean,2,127,14,36,6,,-0.010667539304584306,156.93050513094192,116.6209223847019
matminer,DummyMean,3,122,19,40,2,,-0.011936870691040102,178.85245430413866,140.30207075064712
matminer,DummyMean,4,127,14,38,4,,-0.0019371258650850987,96.49898630595706,82.69190101237346
matminer,DummyMean,5,127,14,38,4,,-0.000925877865647351,111.32401022016353,100.7142857142857
matminer,DummyMean,6,127,14,37,5,,-0.07997116281031569,134.19974254644913,122.793025871766
matminer,DummyMean,7,127,14,38,4,,-0.03952398651768374,242.1105680113294,178.71428571428572
matminer,DummyMean,8,128,13,38,4,,-0.008096640393017607,137.70864087498146,125.42788461538461
matminer,DummyMean,9,129,12,38,4,,-0.002507165577931625,144.97403982169436,134.19444444444443
matminer,DummyMean,10,129,12,38,4,,-0.0665755718454013,112.50619917619532,103.24031007751937
matminer,Ridge,1,126,15,37,5,0.38379794802910905,-94.42789068225149,1013.9389697497595,385.8641161849431
matminer,Ridge,2,127,14,36,6,0.0763305586098596,0.2086547225108465,138.86289704388884,101.67808528372052
matminer,Ridge,3,122,19,40,2,0.10758462374074866,-0.06224221416071041,183.24408820415636,152.30713604253532
matminer,Ridge,4,127,14,38,4,0.06271340864148374,0.1920688178318959,86.65421685227565,69.43399271662769
matminer,Ridge,5,127,14,38,4,0.07093865879699437,0.6597884415205798,64.90264795937487,51.311997856055186
matminer,Ridge,6,127,14,37,5,0.051605605706342296,0.24641123017361788,112.10185832554498,100.74136720589941
matminer,Ridge,7,127,14,38,4,0.028145919835768286,0.06633663314261573,229.45189496827263,169.57466212256776
matminer,Ridge,8,128,13,38,4,0.029107601657904204,0.12348228121987292,128.4075199674497,114.50427228750472
matminer,Ridge,9,129,12,38,4,0.10092912183674088,0.2692677578269391,123.77291904239492,104.35904785989578
matminer,Ridge,10,129,12,38,4,0.08947905286257325,-0.17489853910123254,118.0812164780027,111.00176982399633
matminer,RandomForest,1,126,15,37,5,0.5383857582275666,0.5836195997608964,66.97601316476701,60.138314561036594
matminer,RandomForest,2,127,14,36,6,0.5180659253093891,0.6407235440264659,93.56589864249663,70.38085985029122
matminer,RandomForest,3,122,19,40,2,0.39964688321920605,0.6695944620790633,102.19787204854137,67.20192134502923
matminer,RandomForest,4,127,14,38,4,0.5498022389748727,0.5235817007683201,66.54213541553102,54.55673911564628
matminer,RandomForest,5,127,14,38,4,0.5195245777938116,0.8981251208114902,35.51578653851859,30.139364961859947
matminer,RandomForest,6,127,14,37,5,0.5250698200789232,0.8538583443001456,49.366531505391656,37.08695732390114
matminer,RandomForest,7,127,14,38,4,0.7212586464429827,0.22160196364450369,209.50642925930026,126.70156737275856
matminer,RandomForest,8,128,13,38,4,0.5587489349531564,0.7093026592848314,73.9487160297737,58.0925422924109
