TC,H,dS,dS_ref,RC,dX,VEC,δ,dHmix,dSmix,nunfilled_mean,mag_moment_mean,avg_d_valence_electrons,bandgap_mean,melting_point_mean,electronegativity_range
110,2,0.34,0.7847651319961371,54,0.0892164782481352,8.91,1.065758031375137,3.678300440000001,13.36352082642594,3.200000000000001,0.8509057400000002,7.200000000000001,0,1768.954,0.25
223,2,0.4,0.9232530964660436,223,0.0835767773427523,9.0186,1.082866141675301,3.92539364,13.30231470977151,3.083335083335084,0.886359614016714,7.291665291665291,0,1751.82734023734,0.25
295,5,22.83,22.83,0,0.1827711602002426,6.7882,4.053096017323374,-28.05587372,12.8918289676076,3.791666416667167,0.4453462461215974,6.874998250003499,0.1536667446665106,1536.673501452997,0.4599999999999997
295,5,0.38,0.38,0,0.1097708901704959,8.4051,4.518716977138765,-4.98852372,14.21469090546638,3.5,0.7090881166666667,6,0,1629.706666666667,0.2999999999999998
295,5,0.53,0.53,0,0.1097708901704959,8.4051,4.518716977138765,-4.98852372,14.21469090546638,3.5,0.7090881166666667,6,0,1629.706666666667,0.2999999999999998
297,1,0.17,0.7387642584349462,0,0.0938926332360532,8.916400000000001,2.023773902893635,0.1721465599999995,13.26973924947526,3.220000000000001,0.8509057400000002,7.01,0,1744.7971,0.28
297,5,0.75,0.75,0,0.0938926332360532,8.916400000000001,2.023773902893635,0.1721465599999995,13.26973924947526,3.220000000000001,0.8509057400000002,7.01,0,1744.7971,0.28
35,5,6.2,6.2,403,0.1702615632294018,3.3288,8.399781974699854,-8.284718,16.43129223037101,4.875,0.1935589,1,0,1617.05875,0.6799999999999999
40,5,7.3,7.3,483,0.2185643922805432,3.704400000000001,10.12684239413281,-10.6118208,16.76079447860377,4.5,0.2679832375,2,0,1716.375,0.71
190,5,7.43,7.43,838.25,0.0552245655120979,3,0.9527104341737668,0,11.52362454357099,6.5,0,0.25,0,1683,0.04000000000000004
117,5,6.83,6.83,508.22,0.0614834158157921,2.9997,2.358405118848653,0.14994,13.36403594129224,7,0,0.4,0,1585,0.1399999999999999
120,5,6.38,6.38,760.58,0.0597152455332103,3.0003,2.238392597630376,0.121094,14.73879006707044,7.333333333333332,0,0.5,0,1620.666666666667,0.1399999999999999
144,5,9.03,9.03,930,0.0654330084019716,2.999099999999999,2.063845534516175,0.243022,12.77437239100843,7.399999999999999,1.27e-06,0.4,0,1692.2,0.1600000000000001
143,5,9.23,9.23,932,0.0654330084019716,2.999099999999999,2.063845534516175,0.243022,12.77437239100843,7.399999999999999,1.27e-06,0.4,0,1692.2,0.1600000000000001
146,5,7.86,7.86,920,0.0654330084019716,2.999099999999999,2.063845534516175,0.243022,12.77437239100843,7.399999999999999,1.27e-06,0.4,0,1692.2,0.1600000000000001
139,5,8.56,8.56,984,0.0654330084019716,2.999099999999999,2.063845534516175,0.243022,12.77437239100843,7.399999999999999,1.27e-06,0.4,0,1692.2,0.1600000000000001
