feature,mean_abs_shap,rank,repeat,outer_fold
mag_moment_mean,1.5416317579938594,1,4,2
avg_d_valence_electrons,1.2890565286755065,2,4,2
melting_point_mean,0.7973142260581968,3,4,2
dHmix,0.5374741259555653,4,4,2
nunfilled_mean,0.3692434970536915,5,4,2
VEC,0.3644256168584458,6,4,2
electronegativity_range,0.32277490885695204,7,4,2
dX,0.29728851687003227,8,4,2
sigma,0.2688695385785092,9,4,2
dSmix,0.20538312200072895,10,4,2
bandgap_mean,0.07660642537842965,11,4,2
mag_moment_mean,1.3577781022837978,1,4,3
avg_d_valence_electrons,1.2152863229362552,2,4,3
melting_point_mean,1.0530569141023054,3,4,3
dSmix,0.5985710998176998,4,4,3
electronegativity_range,0.42990129997731624,5,4,3
VEC,0.4111691277702949,6,4,3
dX,0.40201179925398123,7,4,3
dHmix,0.38253956858672167,8,4,3
nunfilled_mean,0.37664010174211515,9,4,3
sigma,0.1730358185412322,10,4,3
bandgap_mean,0.04966027254587526,11,4,3
mag_moment_mean,2.1490976760349576,1,4,4
avg_d_valence_electrons,1.2289995008627588,2,4,4
melting_point_mean,0.9015419998184704,3,4,4
dX,0.4003825872741189,4,4,4
dHmix,0.3794136028791017,5,4,4
electronegativity_range,0.3425990235285582,6,4,4
VEC,0.27798439342911585,7,4,4
dSmix,0.20632012169118882,8,4,4
sigma,0.15762134389972987,9,4,4
nunfilled_mean,0.15415577583408238,10,4,4
bandgap_mean,0.08915558850585055,11,4,4
avg_d_valence_electrons,1.798735654926897,1,4,5
mag_moment_mean,1.1063958522484847,2,4,5
melting_point_mean,0.8024141222838765,3,4,5
dHmix,0.75055716229679,4,4,5
dSmix,0.6160551751440746,5,4,5
sigma,0.48911922217868614,6,4,5
nunfilled_mean,0.3659116396912213,7,4,5
dX,0.28762102561692565,8,4,5
VEC,0.23767283187219784,9,4,5
electronegativity_range,0.23586004435165075,10,4,5
bandgap_mean,0.02497123655684082,11,4,5
mag_moment_mean,1.3502414245080867,1,4,6
avg_d_valence_electrons,1.3196186481520142,2,4,6
melting_point_mean,1.158898211330298,3,4,6
dSmix,0.6428192708786502,4,4,6
electronegativity_range,0.45941208522667254,5,4,6
dHmix,0.4177962935953197,6,4,6
dX,0.3466360040818642,7,4,6
VEC,0.30756975035437184,8,4,6
nunfilled_mean,0.2798690509820012,9,4,6
sigma,0.21102914766073688,10,4,6
bandgap_mean,0.029380405440412215,11,4,6
mag_moment_mean,1.751409753983325,1,4,7
avg_d_valence_electrons,1.4088972584586128,2,4,7
melting_point_mean,1.0238098318654443,3,4,7
dSmix,0.822952386533536,4,4,7
dX,0.3649456089320482,5,4,7
nunfilled_mean,0.27850901937981193,6,4,7
VEC,0.25631374579387756,7,4,7
dHmix,0.17818405850669772,8,4,7
sigma,0.11742997661208673,9,4,7
electronegativity_range,0.08264710356179145,10,4,7
bandgap_mean,0.021139607289886665,11,4,7
avg_d_valence_electrons,1.7236806107185467,1,4,8
dSmix,1.0010012706451534,2,4,8
mag_moment_mean,0.9640749610434239,3,4,8
dHmix,0.550339394581958,4,4,8
melting_point_mean,0.4584894546910602,5,4,8
sigma,0.4504309277838121,6,4,8
electronegativity_range,0.4373371755101674,7,4,8
dX,0.34648178932694934,8,4,8
nunfilled_mean,0.26769336037523095,9,4,8
VEC,0.19125171616020506,10,4,8
bandgap_mean,0.06388168287713432,11,4,8
avg_d_valence_electrons,1.375728255345433,1,4,9
mag_moment_mean,1.0241169380444397,2,4,9
melting_point_mean,0.9607782219794255,3,4,9
electronegativity_range,0.8632360826969069,4,4,9
dHmix,0.843582729572646,5,4,9
dSmix,0.48202667646006936,6,4,9
nunfilled_mean,0.33515357795817996,7,4,9
dX,0.31669729227967736,8,4,9
VEC,0.2844498504301675,9,4,9
sigma,0.12418786667652233,10,4,9
bandgap_mean,0.051716056888767875,11,4,9
mag_moment_mean,1.5225913273547163,1,4,10
avg_d_valence_electrons,1.2491989486157191,2,4,10
melting_point_mean,1.2288996370723586,3,4,10
dSmix,0.7822930122945772,4,4,10
electronegativity_range,0.574715614108766,5,4,10
VEC,0.30743425262909224,6,4,10
nunfilled_mean,0.28892232404598056,7,4,10
sigma,0.2396491461632467,8,4,10
dHmix,0.22364930750334447,9,4,10
dX,0.21259435617669162,10,4,10
bandgap_mean,0.02366319081189377,11,4,10
mag_moment_mean,2.179020301231334,1,5,1
melting_point_mean,1.03188512256911,2,5,1
VEC,0.6746878623172262,3,5,1
avg_d_valence_electrons,0.5691703750462286,4,5,1
dHmix,0.5097322096802508,5,5,1
dSmix,0.4750592210620337,6,5,1
dX,0.32090849448858194,7,5,1
electronegativity_range,0.2813052618931453,8,5,1
sigma,0.24929834036889054,9,5,1
nunfilled_mean,0.238634576263521,10,5,1
bandgap_mean,0.009600788131390562,11,5,1
avg_d_valence_electrons,1.394360606761563,1,5,2
mag_moment_mean,1.1217626219877852,2,5,2
melting_point_mean,0.8340234782537185,3,5,2
electronegativity_range,0.6013093996713506,4,5,2
dSmix,0.5434401126551129,5,5,2
dHmix,0.5217182757896642,6,5,2
