repeat,outer_fold,objective,candidate,features,n_features,q_low,q_high,n,positives,TP,TN,FP,FN,precision,recall,specificity,balanced_accuracy,F1,MCC,base_rate,enrichment,bounds_json
6,5,legacy_f1,SHAP_top_4,avg_d_valence_electrons;mag_moment_mean;dHmix;melting_point_mean,4,0.0,100.0,126,28,20,88,10,8,0.6666666666666666,0.7142857142857143,0.8979591836734694,0.8061224489795918,0.689655172413793,0.5976143046671969,0.2222222222222222,3.0,"{""avg_d_valence_electrons"": [3.694703000000001, 7.01], ""dHmix"": [-28.05587372, 0.1721465599999995], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
6,6,robust_mcc,HEA_VEC_sigma,VEC;sigma,2,0.0,100.0,129,32,22,65,32,10,0.4074074074074074,0.6875,0.6701030927835051,0.6788015463917525,0.5116279069767441,0.3130650675828659,0.24806201550387597,1.642361111111111,"{""VEC"": [6.42, 9.0651], ""sigma"": [0.3399483341407857, 18.13641543376212]}"
6,6,legacy_f1,SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;electronegativity_range,4,0.0,100.0,129,32,17,86,11,15,0.6071428571428571,0.53125,0.8865979381443299,0.7089239690721649,0.5666666666666667,0.4377633682017256,0.24806201550387597,2.447544642857143,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""electronegativity_range"": [0.28, 0.8099999999999998], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
6,7,robust_mcc,HEA_VEC_sigma,VEC;sigma,2,0.0,100.0,128,31,20,70,27,11,0.425531914893617,0.6451612903225806,0.7216494845360825,0.6834053874293315,0.5128205128205128,0.3259998197818443,0.2421875,1.757035003431709,"{""VEC"": [6.42, 9.0651], ""sigma"": [2.023773902893635, 18.13641543376212]}"
6,7,legacy_f1,SHAP_top_4,avg_d_valence_electrons;mag_moment_mean;melting_point_mean;dHmix,4,0.0,100.0,128,31,16,84,13,15,0.5517241379310345,0.5161290322580645,0.865979381443299,0.6910542068506818,0.5333333333333333,0.3910539872554729,0.2421875,2.278086763070078,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""dHmix"": [-28.05587372, 2.06758364], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1536.19443048, 1866.894444444445]}"
6,8,robust_mcc,SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dHmix,4,0.0,100.0,129,31,10,90,8,21,0.5555555555555556,0.3225806451612903,0.9183673469387755,0.620473996050033,0.40816326530612246,0.297111494811246,0.24031007751937986,2.3118279569892475,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""dHmix"": [-28.05587372, 2.06758364], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
6,8,legacy_f1,HEA_VEC_sigma,VEC;sigma,2,20.0,80.0,129,31,13,79,19,18,0.40625,0.41935483870967744,0.8061224489795918,0.6127386438446346,0.4126984126984127,0.22306725881362083,0.24031007751937986,1.690524193548387,"{""VEC"": [6.48, 8.916400000000001], ""sigma"": [3.160106011806786, 5.779255888895785]}"
6,9,robust_mcc,SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,0.0,100.0,127,32,22,83,12,10,0.6470588235294118,0.6875,0.8736842105263158,0.7805921052631579,0.6666666666666667,0.5502515850207099,0.25196850393700787,2.5680147058823533,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""mag_moment_mean"": [0.4453462461215974, 0.9892078375]}"
6,9,legacy_f1,SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,0.0,100.0,127,32,22,83,12,10,0.6470588235294118,0.6875,0.8736842105263158,0.7805921052631579,0.6666666666666667,0.5502515850207099,0.25196850393700787,2.5680147058823533,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""mag_moment_mean"": [0.4453462461215974, 0.9892078375]}"
6,10,robust_mcc,SHAP_top_2,avg_d_valence_electrons;melting_point_mean,2,0.0,100.0,126,29,18,84,13,11,0.5806451612903226,0.6206896551724138,0.865979381443299,0.7433345183078564,0.6000000000000001,0.4756373299611809,0.23015873015873015,2.522803114571747,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
6,10,legacy_f1,SHAP_top_2,avg_d_valence_electrons;melting_point_mean,2,0.0,100.0,126,29,18,84,13,11,0.5806451612903226,0.6206896551724138,0.865979381443299,0.7433345183078564,0.6000000000000001,0.4756373299611809,0.23015873015873015,2.522803114571747,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
7,1,robust_mcc,SHAP_top_2,mag_moment_mean;melting_point_mean,2,0.0,100.0,122,33,28,73,16,5,0.6363636363636364,0.8484848484848485,0.8202247191011236,0.8343547837929861,0.7272727272727273,0.6186084821419655,0.27049180327868855,2.3526170798898067,"{""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
7,1,legacy_f1,SHAP_top_2,mag_moment_mean;melting_point_mean,2,0.0,100.0,122,33,28,73,16,5,0.6363636363636364,0.8484848484848485,0.8202247191011236,0.8343547837929861,0.7272727272727273,0.6186084821419655,0.27049180327868855,2.3526170798898067,"{""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
7,2,robust_mcc,SHAP_VEC_anchor_2,VEC;avg_d_valence_electrons,2,0.0,100.0,124,26,17,56,42,9,0.288135593220339,0.6538461538461539,0.5714285714285714,0.6126373626373627,0.4,0.18362402230248354,0.20967741935483872,1.3741851368970013,"{""VEC"": [6.435, 9.0651], ""avg_d_valence_electrons"": [3.701747, 7.195]}"
7,2,legacy_f1,SHAP_top_3,avg_d_valence_electrons;mag_moment_mean;electronegativity_range,3,0.0,100.0,124,26,15,78,20,11,0.42857142857142855,0.5769230769230769,0.7959183673469388,0.6864207221350078,0.4918032786885245,0.3372056695572388,0.20967741935483872,2.043956043956044,"{""avg_d_valence_electrons"": [3.701747, 7.195], ""electronegativity_range"": [0.28, 0.8099999999999998], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134]}"
7,3,robust_mcc,SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,0.0,100.0,127,32,22,81,14,10,0.6111111111111112,0.6875,0.8526315789473684,0.7700657894736842,0.6470588235294118,0.520312685594999,0.25196850393700787,2.4253472222222223,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""mag_moment_mean"": [0.4453462461215974, 0.9454508222222224]}"
7,3,legacy_f1,SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,0.0,100.0,127,32,22,81,14,10,0.6111111111111112,0.6875,0.8526315789473684,0.7700657894736842,0.6470588235294118,0.520312685594999,0.25196850393700787,2.4253472222222223,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""mag_moment_mean"": [0.4453462461215974, 0.9454508222222224]}"
7,4,robust_mcc,SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dHmix,4,0.0,100.0,129,32,20,86,11,12,0.6451612903225806,0.625,0.8865979381443299,0.7557989690721649,0.634920634920635,0.5171252656876348,0.24806201550387597,2.600806451612903,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""dHmix"": [-28.05587372, 2.06758364], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1744.7971]}"
7,4,legacy_f1,SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dHmix,4,0.0,100.0,129,32,20,86,11,12,0.6451612903225806,0.625,0.8865979381443299,0.7557989690721649,0.634920634920635,0.5171252656876348,0.24806201550387597,2.600806451612903,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""dHmix"": [-28.05587372, 2.06758364], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1744.7971]}"
7,5,robust_mcc,SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,0.0,100.0,126,28,21,88,10,7,0.6774193548387096,0.75,0.8979591836734694,0.8239795918367347,0.7118644067796611,0.6254564183567413,0.2222222222222222,3.0483870967741935,"{""avg_d_valence_electrons"": [3.694703000000001, 7.01], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
7,5,legacy_f1,SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,0.0,100.0,126,28,21,88,10,7,0.6774193548387096,0.75,0.8979591836734694,0.8239795918367347,0.7118644067796611,0.6254564183567413,0.2222222222222222,3.0483870967741935,"{""avg_d_valence_electrons"": [3.694703000000001, 7.01], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
7,6,robust_mcc,HEA_VEC_sigma,VEC;sigma,2,0.0,100.0,125,29,19,70,26,10,0.4222222222222222,0.6551724137931034,0.7291666666666666,0.6921695402298851,0.5135135135135135,0.3379853777622611,0.232,1.8199233716475094,"{""VEC"": [6.42, 9.0651], ""sigma"": [0.3399483341407857, 18.13641543376212]}"
7,6,legacy_f1,SHAP_top_4,avg_d_valence_electrons;mag_moment_mean;melting_point_mean;electronegativity_range,4,0.0,100.0,125,29,15,88,8,14,0.6521739130434783,0.5172413793103449,0.9166666666666666,0.7169540229885057,0.576923076923077,0.472681184240823,0.232,2.811094452773613,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""electronegativity_range"": [0.28, 0.8099999999999998], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445]}"
7,7,robust_mcc,SHAP_top_2,mag_moment_mean;VEC,2,0.0,100.0,129,32,21,72,25,11,0.45652173913043476,0.65625,0.7422680412371134,0.6992590206185567,0.5384615384615383,0.3593278520252011,0.24806201550387597,1.8403532608695652,"{""VEC"": [6.42, 9.0651], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134]}"
7,7,legacy_f1,SHAP_top_4,mag_moment_mean;VEC;melting_point_mean;sigma,4,0.0,100.0,129,32,18,86,11,14,0.6206896551724138,0.5625,0.8865979381443299,0.7245489690721649,0.5901639344262296,0.46462536846930774,0.24806201550387597,2.502155172413793,"{""VEC"": [6.42, 9.0651], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1533.84621781, 1866.894444444445], ""sigma"": [0.3399483341407857, 18.13641543376212]}"
7,8,robust_mcc,SHAP_top_2,mag_moment_mean;electronegativity_range,2,5.0,95.0,128,31,21,91,6,10,0.7777777777777778,0.6774193548387096,0.9381443298969072,0.8077818423678085,0.7241379310344828,0.6463937308758453,0.2421875,3.2114695340501793,"{""electronegativity_range"": [0.2899999999999999, 0.5], ""mag_moment_mean"": [0.4552691231034483, 0.9673293298611112]}"
7,8,legacy_f1,SHAP_top_2,mag_moment_mean;electronegativity_range,2,5.0,95.0,128,31,21,91,6,10,0.7777777777777778,0.6774193548387096,0.9381443298969072,0.8077818423678085,0.7241379310344828,0.6463937308758453,0.2421875,3.2114695340501793,"{""electronegativity_range"": [0.2899999999999999, 0.5], ""mag_moment_mean"": [0.4552691231034483, 0.9673293298611112]}"
7,9,robust_mcc,SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,0.0,100.0,130,32,22,66,32,10,0.4074074074074074,0.6875,0.673469387755102,0.6804846938775511,0.5116279069767441,0.3155402198543088,0.24615384615384617,1.6550925925925923,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134]}"
7,9,legacy_f1,SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,0.0,100.0,130,32,19,87,11,13,0.6333333333333333,0.59375,0.8877551020408163,0.7407525510204082,0.6129032258064516,0.4922982510909529,0.24615384615384617,2.5729166666666665,"{""avg_d_valence_electrons"": [3.694703000000001, 7.195], ""mag_moment_mean"": [0.4453462461215974, 1.5841829155134], ""melting_point_mean"": [1536.19443048, 1866.894444444445]}"
7,10,robust_mcc,SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,15.0,85.0,129,31,9,92,6,22,0.6,0.2903225806451613,0.9387755102040817,0.6145490454246215,0.3913043478260869,0.30536362298150976,0.24031007751937986,2.496774193548387,"{""avg_d_valence_electrons"": [3.709418709418709, 7.1125], ""mag_moment_mean"": [0.48293959477389825, 0.8509716406465517]}"
7,10,legacy_f1,HEA_VEC_sigma,VEC;sigma,2,20.0,80.0,129,31,13,80,18,18,0.41935483870967744,0.41935483870967744,0.8163265306122449,0.6178406846609612,0.41935483870967744,0.23568136932192232,0.24031007751937986,1.745057232049948,"{""VEC"": [6.48, 8.916400000000001], ""sigma"": [3.160106011806786, 5.779255888895785]}"
