repeat,outer_fold,rule,n,positives,TP,TN,FP,FN,precision,recall,specificity,balanced_accuracy,F1,MCC,base_rate,enrichment
4,1,v2_nested_legacy_f1,19,1,1,14,4,0,0.2,1.0,0.7777777777777778,0.8888888888888888,0.33333333333333337,0.3944053188733077,0.05263157894736842,3.8000000000000003
4,1,v1_rederived,19,1,1,16,2,0,0.3333333333333333,1.0,0.8888888888888888,0.9444444444444444,0.5,0.5443310539518174,0.05263157894736842,6.333333333333333
4,2,v2_nested,17,8,0,7,2,8,0.0,0.0,0.7777777777777778,0.3888888888888889,0.0,-0.34426518632954817,0.47058823529411764,0.0
4,2,v2_nested_legacy_f1,17,8,6,7,2,2,0.75,0.75,0.7777777777777778,0.7638888888888888,0.75,0.5277777777777778,0.47058823529411764,1.59375
4,2,v1_rederived,17,8,0,7,2,8,0.0,0.0,0.7777777777777778,0.3888888888888889,0.0,-0.34426518632954817,0.47058823529411764,0.0
4,3,v2_nested,12,2,2,10,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,6.0
4,3,v2_nested_legacy_f1,12,2,1,10,0,1,1.0,0.5,1.0,0.75,0.6666666666666666,0.674199862463242,0.16666666666666666,6.0
4,3,v1_rederived,12,2,1,10,0,1,1.0,0.5,1.0,0.75,0.6666666666666666,0.674199862463242,0.16666666666666666,6.0
4,4,v2_nested,12,2,2,2,8,0,0.2,1.0,0.2,0.6,0.33333333333333337,0.2,0.16666666666666666,1.2000000000000002
4,4,v2_nested_legacy_f1,12,2,1,9,1,1,0.5,0.5,0.9,0.7,0.5,0.4,0.16666666666666666,3.0
4,4,v1_rederived,12,2,1,10,0,1,1.0,0.5,1.0,0.75,0.6666666666666666,0.674199862463242,0.16666666666666666,6.0
4,5,v2_nested,12,2,2,6,4,0,0.3333333333333333,1.0,0.6,0.8,0.5,0.4472135954999579,0.16666666666666666,2.0
4,5,v2_nested_legacy_f1,12,2,2,10,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,6.0
4,5,v1_rederived,12,2,2,6,4,0,0.3333333333333333,1.0,0.6,0.8,0.5,0.4472135954999579,0.16666666666666666,2.0
4,6,v2_nested,12,3,2,9,0,1,1.0,0.6666666666666666,1.0,0.8333333333333333,0.8,0.7745966692414834,0.25,4.0
4,6,v2_nested_legacy_f1,12,3,3,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,4.0
4,6,v1_rederived,12,3,3,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,4.0
4,7,v2_nested,15,6,0,7,2,6,0.0,0.0,0.7777777777777778,0.3888888888888889,0.0,-0.3202563076101743,0.4,0.0
4,7,v2_nested_legacy_f1,15,6,0,7,2,6,0.0,0.0,0.7777777777777778,0.3888888888888889,0.0,-0.3202563076101743,0.4,0.0
4,7,v1_rederived,15,6,0,7,2,6,0.0,0.0,0.7777777777777778,0.3888888888888889,0.0,-0.3202563076101743,0.4,0.0
4,8,v2_nested,14,2,0,12,0,2,0.0,0.0,1.0,0.5,0.0,0.0,0.14285714285714285,0.0
4,8,v2_nested_legacy_f1,14,2,0,12,0,2,0.0,0.0,1.0,0.5,0.0,0.0,0.14285714285714285,0.0
4,8,v1_rederived,14,2,0,12,0,2,0.0,0.0,1.0,0.5,0.0,0.0,0.14285714285714285,0.0
4,9,v2_nested,13,3,3,5,5,0,0.375,1.0,0.5,0.75,0.5454545454545454,0.4330127018922193,0.23076923076923078,1.625
4,9,v2_nested_legacy_f1,13,3,1,9,1,2,0.5,0.3333333333333333,0.9,0.6166666666666667,0.4,0.27247463045653303,0.23076923076923078,2.1666666666666665
4,9,v1_rederived,13,3,3,9,1,0,0.75,1.0,0.9,0.95,0.8571428571428571,0.8215838362577492,0.23076923076923078,3.25
4,10,v2_nested,15,5,5,7,3,0,0.625,1.0,0.7,0.85,0.7692307692307693,0.6614378277661477,0.3333333333333333,1.875
4,10,v2_nested_legacy_f1,15,5,5,7,3,0,0.625,1.0,0.7,0.85,0.7692307692307693,0.6614378277661477,0.3333333333333333,1.875
4,10,v1_rederived,15,5,1,7,3,4,0.25,0.2,0.7,0.44999999999999996,0.22222222222222224,-0.10660035817780521,0.3333333333333333,0.75
5,1,v2_nested,19,1,1,14,4,0,0.2,1.0,0.7777777777777778,0.8888888888888888,0.33333333333333337,0.3944053188733077,0.05263157894736842,3.8000000000000003
5,1,v2_nested_legacy_f1,19,1,1,14,4,0,0.2,1.0,0.7777777777777778,0.8888888888888888,0.33333333333333337,0.3944053188733077,0.05263157894736842,3.8000000000000003
5,1,v1_rederived,19,1,1,16,2,0,0.3333333333333333,1.0,0.8888888888888888,0.9444444444444444,0.5,0.5443310539518174,0.05263157894736842,6.333333333333333
