candidate,features,n_features,q_low,q_high,MCC,balanced_accuracy,enrichment,recall,precision,F1,MCC_sd,BA_sd
SHAP_VEC_anchor_4,VEC;mag_moment_mean;avg_d_valence_electrons;melting_point_mean,4,20.0,80.0,0.11120572692072699,0.5326553051126993,1.732549019607843,0.11764705882352941,0.4177777777777778,0.18350951374207186,0.011099678555732573,0.002413073735954763
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,0.0,100.0,0.353028366249012,0.7014018691588786,1.778949667210283,0.7,0.42896658641950075,0.5316838760053443,0.028785756953771547,0.014961229992480621
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,2.5,97.5,0.16424976561582025,0.5890874106652007,1.4302881916287196,0.45294117647058824,0.3448921880523153,0.39109756097560977,0.020346016080856975,0.009437597739533664
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,5.0,95.0,0.24789680239086573,0.611984606926883,1.929977375565611,0.35294117647058826,0.4653846153846154,0.40137931034482766,0.009199141925515483,0.002955399682400361
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,10.0,90.0,0.2764355163057983,0.6150357339197361,2.1722689075630255,0.3235294117647059,0.5238095238095238,0.39999999999999997,0.0,0.0
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,15.0,85.0,0.29125787014413357,0.6187740516767455,2.2727363445378153,0.3235294117647059,0.5480357142857143,0.4062222222222222,0.02994143142437351,0.007239221207864369
SHAP_top_2,mag_moment_mean;avg_d_valence_electrons,2,20.0,80.0,0.206369052712955,0.5790681693238042,1.9829308098566887,0.24411764705882355,0.47815352861792493,0.3223546850108354,0.028747823956817013,0.008137414246740764
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,0.0,100.0,0.47483530237622895,0.7395272127542606,2.4687829150980733,0.611764705882353,0.5953093554137198,0.6030485581144054,0.01695314493164495,0.005837769917370277
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,2.5,97.5,0.31278653931746764,0.6362974161627268,2.240488922841864,0.3735294117647059,0.5402597402597402,0.44147783251231526,0.013345481825543933,0.008108734543194976
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,5.0,95.0,0.20039734101267617,0.5760582737768004,1.9637543252595158,0.23529411764705882,0.47352941176470587,0.3143529411764706,0.005659404235282255,0.0014776998412001927
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,10.0,90.0,0.2030379516269501,0.5675508521165475,2.1532805429864252,0.1911764705882353,0.5192307692307693,0.27937095282146157,0.019468644799175858,0.007750680539628353
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,15.0,85.0,0.1539506701199132,0.5473611874656404,1.960427807486631,0.14705882352941177,0.4727272727272728,0.22424242424242427,0.011399760294359199,0.002413073735954807
SHAP_top_3,mag_moment_mean;avg_d_valence_electrons;melting_point_mean,3,20.0,80.0,0.11120572692072699,0.5326553051126993,1.732549019607843,0.11764705882352941,0.4177777777777778,0.18350951374207186,0.011099678555732573,0.002413073735954763
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,0.0,100.0,0.3920789636257417,0.6800164925783398,2.4339490458390713,0.46470588235294114,0.5869096989966555,0.5181591896636069,0.01963496037206598,0.005837769917370277
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,2.5,97.5,0.32116884055134387,0.6282572842221,2.4433409215079225,0.3294117647058824,0.5891744066047472,0.42229099670831083,0.02102620677186275,0.01081971862196812
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,5.0,95.0,0.19152701606705763,0.5615997800989555,2.133850267379679,0.17647058823529413,0.5145454545454545,0.262635046113307,0.015795719525361247,0.0031539652229465127
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,10.0,90.0,0.26377458853682445,0.5605689939527212,3.2919747899159666,0.1323529411764706,0.7938095238095239,0.22656347717323327,0.03691992305957775,0.009169424299280892
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,15.0,85.0,0.17311966557616407,0.5266080263881253,3.3176470588235296,0.058823529411764705,0.8,0.10930930930930931,0.034146504322835766,0.002413073735954807
SHAP_top_4,mag_moment_mean;avg_d_valence_electrons;melting_point_mean;dSmix,4,20.0,80.0,-0.028584776588307825,0.497196261682243,0.0,0.0,0.0,0.0,0.02460185859590575,0.0024130737359547706
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,0.0,100.0,0.32834878948273316,0.6866959868059374,1.7355520975446155,0.6705882352941177,0.4185019242306165,0.515102483163087,0.028871580480064333,0.014961229992480667
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,2.5,97.5,0.13804540315028563,0.5743815283122595,1.3680392156862746,0.4235294117647059,0.3298817966903073,0.3703855754488666,0.020119178253233637,0.009437597739533704
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,5.0,95.0,0.24789680239086573,0.611984606926883,1.929977375565611,0.35294117647058826,0.4653846153846154,0.40137931034482766,0.009199141925515483,0.002955399682400361
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,10.0,90.0,0.2764355163057983,0.6150357339197361,2.1722689075630255,0.3235294117647059,0.5238095238095238,0.39999999999999997,0.0,0.0
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,15.0,85.0,0.29125787014413357,0.6187740516767455,2.2727363445378153,0.3235294117647059,0.5480357142857143,0.4062222222222222,0.02994143142437351,0.007239221207864369
original_electronic_3,VEC;avg_d_valence_electrons;mag_moment_mean,3,20.0,80.0,0.206369052712955,0.5790681693238042,1.9829308098566887,0.24411764705882355,0.47815352861792493,0.3223546850108354,0.028747823956817013,0.008137414246740764
